GroupId,GroupName,VpcId,Description,OwnerId,InboundRulesCount,OutboundRulesCount,Tags
sg-019a4121a154d9bc5,launch-wizard-12,vpc-0ff0b5fd9efd21890,launch-wizard-12 created 2023-01-04T08:03:11.450Z,016726540778,1,1,
sg-0e337946a378a03b1,launch-wizard-11,vpc-0ff0b5fd9efd21890,launch-wizard-11 created 2023-01-04T07:59:23.747Z,016726540778,1,1,
sg-095b6844fe97400e5,launch-wizard-13,vpc-0ff0b5fd9efd21890,launch-wizard-13 created 2023-01-05T00:23:48.659Z,016726540778,1,1,
sg-00ed2435d9d944812,launch-wizard-7,vpc-0ff0b5fd9efd21890,launch-wizard-7 created 2022-10-19T05:18:44.272Z,016726540778,1,1,
sg-0a5f8a297760fb602,launch-wizard-10,vpc-0ff0b5fd9efd21890,launch-wizard-10 created 2022-11-14T08:12:45.013Z,016726540778,1,1,
sg-0f39521144bb964ba,default,vpc-0ff0b5fd9efd21890,default VPC security group,016726540778,1,1,
sg-0c51bab5ca67e63e0,launch-wizard-1,vpc-0ff0b5fd9efd21890,launch-wizard-1 created 2023-01-11T01:06:37.076Z,016726540778,1,1,
sg-0dbe848356e3d680f,launch-wizard-8,vpc-0ff0b5fd9efd21890,launch-wizard-8 created 2022-10-19T05:45:46.383Z,016726540778,1,1,
sg-0ef75256742c30268,launch-wizard-9,vpc-0ff0b5fd9efd21890,launch-wizard-9 created 2022-11-14T08:03:27.558Z,016726540778,1,1,
sg-0a209414ad94788d0,launch-wizard-6,vpc-0ff0b5fd9efd21890,launch-wizard-6 created 2022-10-19T02:20:59.871Z,016726540778,1,1,